f/Hz	Re{Y}/µS	Im{Y}/µS	Re{Z}/mOhm	Im{Z}/mOhm
15581000	16	396	99634	-2518661
15591000	16	398	99993	-2509749
15601000	17	397	105601	-2515167
15611000	15	399	93769	-2501692
15621000	15	402	92982	-2481172
15631000	14	401	88432	-2491893
15641000	13	403	81335	-2480121
15651000	14	402	87025	-2486746
15661000	13	404	80274	-2473604
15671000	15	403	90257	-2477436
15681000	16	404	97395	-2471872
15691000	18	406	106180	-2457157
15701000	14	406	84299	-2460273
15711000	16	405	95684	-2463282
15721000	15	405	92986	-2465742
15731000	17	409	98389	-2439022
15741000	15	408	92332	-2447885
15751000	15	406	88925	-2458415
15761000	17	408	101775	-2445740
15771000	19	409	112194	-2441172
15781000	21	409	123936	-2436783
15791000	19	408	112021	-2445338
15801000	15	408	88993	-2449906
15811000	18	409	109074	-2439039
15821000	17	410	98637	-2436852
15831000	17	411	99784	-2428452
15841000	15	412	88442	-2426143
15851000	18	412	104521	-2424169
15861000	19	412	111335	-2419229
15871000	14	413	82671	-2420026
15881000	14	415	78851	-2408068
15891000	16	413	93972	-2416041
15901000	17	416	96919	-2398650
15911000	15	415	83957	-2404464
15921000	15	417	84121	-2396193
15931000	17	419	96203	-2381497
15941000	18	420	103666	-2377746
15951000	18	419	104234	-2379825
15961000	17	420	96166	-2377836
15971000	17	421	96793	-2369549
15981000	17	423	96008	-2362013
15991000	19	425	106964	-2347691
16001000	19	422	104117	-2365776
16011000	21	424	114812	-2351687
16021000	20	426	111296	-2341847
16031000	18	427	100202	-2339634
16041000	21	428	112953	-2333658
16051000	18	430	98972	-2320143
16061000	20	427	110673	-2336731
16071000	21	432	115064	-2310607
16081000	19	431	101353	-2316754
16091000	18	435	97248	-2297242
16101000	19	433	101804	-2302571
16111000	23	431	123394	-2311731
16121000	20	433	107451	-2306277
16131000	18	435	96593	-2292215
16141000	22	435	114140	-2290896
16151000	19	435	98191	-2297043
16161000	18	437	93106	-2286855
16171000	20	435	106173	-2293278
16181000	21	438	109444	-2276997
16191000	21	436	108343	-2288717
16201000	17	436	89273	-2292363
16211000	20	436	102626	-2288099
16221000	21	439	106432	-2272629
16231000	20	439	103656	-2273635
16241000	18	436	94051	-2289625
16251000	20	437	104462	-2282769
16261000	15	441	79523	-2266377
16271000	19	438	99733	-2276639
16281000	21	439	108866	-2270106
16291000	20	440	103232	-2268395
16301000	18	439	91513	-2274721
16311000	19	440	100417	-2270467
16321000	20	439	106198	-2274929
16331000	19	439	98283	-2273861
16341000	15	443	74838	-2256812
16351000	20	440	101056	-2268773
16361000	18	438	93467	-2277184
16371000	18	442	93204	-2257906
16381000	18	441	90253	-2266371
16391000	17	440	87789	-2267531
16401000	19	441	96270	-2263084
16411000	20	440	104254	-2266833
16421000	16	440	82294	-2269205
16431000	16	442	79884	-2261328
16441000	21	441	108085	-2263181
16451000	16	443	83160	-2256130
16461000	15	442	78525	-2261455
16471000	17	445	83415	-2243526
16481000	19	443	97418	-2252300
16491000	15	443	77675	-2255199
16501000	18	444	89221	-2251114
16511000	17	444	85726	-2249803
16521000	16	444	80674	-2250460
16531000	16	442	82623	-2261909
16541000	15	446	77431	-2238259
16551000	18	443	91131	-2253023
16561000	15	446	73083	-2239363
16571000	15	444	76552	-2252086
16581000	16	447	82227	-2236069
16591000	15	443	77130	-2254530
16601000	16	448	77720	-2227805
16611000	15	444	75687	-2248163
16621000	13	447	64656	-2233949
16631000	17	446	84568	-2237682
16641000	17	448	85338	-2230776
16651000	16	448	80327	-2230495
16661000	17	449	82964	-2222772
16671000	15	450	75694	-2220892
16681000	17	452	85183	-2208631
16691000	16	448	80789	-2227327
16701000	18	453	88984	-2203472
16711000	18	451	87793	-2211962
16721000	14	451	67725	-2212842
16731000	15	453	72598	-2206807
16741000	13	453	63563	-2205720
16751000	19	452	90752	-2206445
16761000	18	454	86185	-2197379
16771000	14	455	69113	-2194347
