Excitation
"Frequency"[Hz]	"VoltageSource1 [Ohm]"	
1.05210000E+7	1.75632331E+2	
1.05220000E+7	1.75835387E+2	
1.05230000E+7	1.75526834E+2	
1.05240000E+7	1.75716121E+2	
1.05250000E+7	1.75580640E+2	
1.05260000E+7	1.75771858E+2	
1.05270000E+7	1.75726282E+2	
1.05280000E+7	1.75748254E+2	
1.05290000E+7	1.75596911E+2	
1.05300000E+7	1.75837332E+2	
1.05310000E+7	1.75883192E+2	
1.05320000E+7	1.75738072E+2	
1.05330000E+7	1.75798221E+2	
1.05340000E+7	1.75901051E+2	
1.05350000E+7	1.75817464E+2	
1.05360000E+7	1.75819625E+2	
1.05370000E+7	1.75936206E+2	
1.05380000E+7	1.76050213E+2	
1.05390000E+7	1.75881748E+2	
1.05400000E+7	1.75668779E+2	
1.05410000E+7	1.75791678E+2	
1.05420000E+7	1.75915386E+2	
1.05430000E+7	1.75971328E+2	
1.05440000E+7	1.75927958E+2	
1.05450000E+7	1.76213680E+2	
1.05460000E+7	1.76203753E+2	
1.05470000E+7	1.76009166E+2	
1.05480000E+7	1.76186533E+2	
1.05490000E+7	1.76010187E+2	
1.05500000E+7	1.75960172E+2	
1.05510000E+7	1.76253879E+2	
1.05520000E+7	1.76202131E+2	
1.05530000E+7	1.76397577E+2	
1.05540000E+7	1.76140170E+2	
1.05550000E+7	1.76196683E+2	
1.05560000E+7	1.76268596E+2	
1.05570000E+7	1.76071146E+2	
1.05580000E+7	1.76142078E+2	
1.05590000E+7	1.76201618E+2	
1.05600000E+7	1.76410611E+2	
1.05610000E+7	1.76412916E+2	
1.05620000E+7	1.76350614E+2	
1.05630000E+7	1.76462208E+2	
1.05640000E+7	1.76467138E+2	
1.05650000E+7	1.76346936E+2	
1.05660000E+7	1.76426278E+2	
1.05670000E+7	1.76336148E+2	
1.05680000E+7	1.76266476E+2	
1.05690000E+7	1.76524169E+2	
1.05700000E+7	1.76618741E+2	
1.05710000E+7	1.76315412E+2	
1.05720000E+7	1.76595989E+2	
1.05730000E+7	1.76564378E+2	
1.05740000E+7	1.76677639E+2	
1.05750000E+7	1.76505477E+2	
1.05760000E+7	1.76498562E+2	
1.05770000E+7	1.76543034E+2	
1.05780000E+7	1.76471078E+2	
1.05790000E+7	1.76726453E+2	
1.05800000E+7	1.76648279E+2	
1.05810000E+7	1.76485545E+2	
1.05820000E+7	1.76631370E+2	
1.05830000E+7	1.76711321E+2	
1.05840000E+7	1.76536006E+2	
1.05850000E+7	1.76591623E+2	
1.05860000E+7	1.76544964E+2	
1.05870000E+7	1.76670007E+2	
1.05880000E+7	1.76773277E+2	
1.05890000E+7	1.76691605E+2	
1.05900000E+7	1.76819716E+2	
1.05910000E+7	1.76805850E+2	
1.05920000E+7	1.76534544E+2	
1.05930000E+7	1.76875940E+2	
1.05940000E+7	1.76858309E+2	
1.05950000E+7	1.76717750E+2	
